mode,lambda,corr_FE_FF,corr_RGE_RGF,peak_force_e,cut_rge_pA
slow walk,1e-02,-0.949,-0.966,17.46,54.8
slow walk,1e-03,-0.973,-0.973,17.46,64.4
slow walk,1e-04,-0.988,-0.974,17.46,64.7
slow walk,1e-05,-0.514,-0.904,17.32,11.7
slow walk,1e-06,-0.736,-0.862,15.61,4.1
medium / plantar,1e-02,-0.953,-0.974,16.72,54.3
medium / plantar,1e-03,-0.980,-0.981,16.72,63.5
medium / plantar,1e-04,-0.980,-0.978,16.72,65.1
medium / plantar,1e-05,-0.469,-0.877,16.57,11.1
medium / plantar,1e-06,-0.512,-0.751,12.82,4.1
fast walk,1e-02,-0.931,-0.935,15.48,55.0
fast walk,1e-03,-0.940,-0.938,15.50,63.6
fast walk,1e-04,-0.942,-0.953,15.51,64.6
fast walk,1e-05,-0.374,-0.817,15.09,10.1
fast walk,1e-06,-0.510,-0.710,10.76,4.0
toe stepping,1e-02,-0.956,-0.977,16.71,58.8
toe stepping,1e-03,-0.988,-0.976,16.72,63.6
toe stepping,1e-04,-0.788,-0.956,16.72,48.3
toe stepping,1e-05,-0.454,-0.776,15.36,7.0
toe stepping,1e-06,-0.390,-0.741,13.79,3.9
air stepping,1e-02,-0.553,-0.859,16.72,64.0
air stepping,1e-03,-0.524,-0.852,16.70,49.8
air stepping,1e-04,-0.475,-0.814,11.28,8.5
air stepping,1e-05,-0.446,-0.779,10.26,4.0
air stepping,1e-06,-0.506,-0.807,9.86,3.6
