sweep,mean_pA,CV,cut_mean_pA,cut_std_pA,corr_ef,period_sd_ms,peak_force_e
mean,15,0.020,15.01,0.30,-0.994,0.00,16.711
mean,25,0.020,25.02,0.50,-0.944,0.00,16.712
mean,35,0.020,35.01,0.68,-0.740,0.00,16.712
mean,45,0.020,45.00,0.90,-0.732,0.00,16.713
mean,55,0.020,54.98,1.10,-0.781,0.00,16.718
mean,63,0.020,63.05,1.26,-0.878,0.00,16.719
cv,63,0.040,63.00,2.57,-0.797,0.00,16.719
cv,63,0.060,63.11,3.76,-0.816,0.00,16.720
cv,63,0.080,63.15,5.02,-0.812,0.00,16.723
cv,63,0.100,62.95,6.23,-0.869,0.00,16.723
