sweep,mean_pA,CV,cut_mean_pA,cut_std_pA,corr_ef,period_sd_ms,peak_force_e
mean,15,0.020,15.00,0.30,-0.953,0.00,16.780
mean,25,0.020,25.01,0.49,-0.899,0.00,16.848
mean,35,0.020,35.00,0.69,-0.646,82.61,17.040
mean,45,0.020,45.03,0.91,-0.558,108.79,17.168
mean,55,0.020,55.00,1.10,-0.624,143.41,17.025
mean,63,0.020,63.02,1.25,-0.836,0.00,16.738
cv,63,0.040,63.02,2.54,-0.815,60.57,16.739
cv,63,0.060,62.98,3.84,-0.796,82.61,16.795
cv,63,0.080,63.01,5.07,-0.888,60.57,16.731
cv,63,0.100,63.01,6.38,-0.817,60.57,16.736
