projection,n_connections,weight_mean_pA,weight_std_pA,delay_mean_ms,delay_std_ms
BS->RG-E,5070,3.493,2.808,2.995,0.209
BS->RG-F,5041,3.480,2.799,3.002,0.209
CUT->InE,1522,5.987,3.147,2.011,0.210
CUT->RG-E (plastic),5003,3.506,1.051,1.998,0.209
Ia-E->IaInt-E,1954,5.911,2.922,2.009,0.203
Ia-E->InE,1257,6.059,2.943,2.003,0.212
Ia-E->RG-E,5095,3.498,1.067,1.999,0.208
Ia-F->IaInt-F,1956,5.964,3.036,1.989,0.201
Ia-F->InF,1246,5.836,2.921,1.995,0.211
Ia-F->RG-F,4880,3.505,1.063,2.001,0.206
IaInt-E->M-F,2003,-10.058,5.061,2.003,0.206
IaInt-F->M-E,1977,-10.262,5.136,1.996,0.211
InE->RG-F,768,-8.114,4.143,1.796,0.213
InF->RG-E,1496,-47.954,24.509,1.793,0.207
M-E->M-F,2510,-21.963,11.133,1.802,0.208
M-E->mus-E,7973,0.992,0.488,2.000,0.208
M-F->M-E,2471,-21.978,11.062,1.803,0.208
M-F->mus-F,7997,1.000,0.501,2.002,0.207
RG-E->InE,754,11.849,5.890,1.794,0.210
RG-E->M-E,4961,30.133,15.008,2.002,0.209
RG-F->InF,1490,18.355,9.400,1.799,0.213
RG-F->M-F,5029,29.800,14.422,1.997,0.209
base->RG-E,978,0.988,0.493,2.994,0.206
base->RG-F,1007,1.021,0.515,2.990,0.208
commiss E (L->R),1044,-7.933,3.953,2.195,0.207
commiss F (L->R),2177,-20.033,10.079,2.203,0.205
flexAff->InF,1282,5.913,2.941,2.000,0.217
flexAff->RG-F,2522,6.084,3.118,2.001,0.212
