projection,n,weight_mean_pA,weight_std_pA,weight_min,weight_max,delay_mean_ms,delay_std_ms,delay_min,delay_max,type
BS->RG-E,5025,3.501,2.070,0.28,19.18,3.001,0.209,2.200,3.600,frozen @init (sensory); ->15.4 plastic (descending)
BS->RG-F,4957,3.475,2.051,0.38,18.04,3.001,0.207,2.400,3.800,frozen @init (sensory); ->15.9 plastic (descending)
CUT->RG-E,8554,63.200,3.100,53.30,72.40,1.997,0.208,1.200,3.000,plastic (both arms)
CUT->InE,1501,6.000,0.000,6.00,6.00,2.002,0.207,1.200,2.600,static
base->RG-E,996,1.000,0.000,1.00,1.00,2.991,0.207,2.400,3.600,static
base->RG-F,1025,1.000,0.000,1.00,1.00,3.001,0.208,2.400,3.600,static
Ia-E->RG-E,5011,4.400,0.340,3.20,5.30,2.002,0.204,1.400,2.600,plastic (sensory arm)
Ia-F->RG-F,4942,4.310,0.350,3.40,5.50,2.002,0.209,1.200,2.800,plastic (sensory arm)
flexAff->RG-F,2524,6.000,0.000,6.00,6.00,2.003,0.212,1.200,2.800,static
flexAff->InF,1279,6.000,0.000,6.00,6.00,1.997,0.213,1.200,2.600,static
RG-E->InE,744,12.000,0.000,12.00,12.00,1.804,0.205,1.200,2.600,static
RG-F->InF,1518,18.000,0.000,18.00,18.00,1.808,0.206,1.200,2.400,static
InE->RG-F,710,-8.000,0.000,-8.00,-8.00,1.798,0.203,1.200,2.400,static
InF->RG-E,1514,-48.000,0.000,-48.00,-48.00,1.800,0.209,1.000,2.400,static
Ia-E->IaInt-E,1941,6.000,0.000,6.00,6.00,1.990,0.200,1.400,2.600,static
Ia-F->IaInt-F,1974,6.000,0.000,6.00,6.00,2.000,0.206,1.200,2.600,static
IaInt-E->M-F,1997,-10.000,0.000,-10.00,-10.00,1.995,0.210,1.200,2.600,static
IaInt-F->M-E,2022,-10.000,0.000,-10.00,-10.00,1.999,0.211,1.200,2.600,static
Ia-E->InE,1252,6.000,0.000,6.00,6.00,1.995,0.211,1.200,2.600,static
Ia-F->InF,1245,6.000,0.000,6.00,6.00,2.002,0.206,1.400,2.600,static
RG-E->M-E,5012,30.000,0.000,30.00,30.00,1.997,0.210,1.400,2.800,static
RG-F->M-F,5025,30.000,0.000,30.00,30.00,2.006,0.210,1.400,2.800,static
M-E->M-F,2502,-22.000,0.000,-22.00,-22.00,1.803,0.209,1.200,2.400,static
M-F->M-E,2469,-22.000,0.000,-22.00,-22.00,1.798,0.210,1.200,2.400,static
M-E->mus-E,7977,1.000,0.000,1.00,1.00,2.001,0.208,1.200,2.800,static
M-F->mus-F,7964,1.000,0.000,1.00,1.00,2.005,0.207,1.200,2.800,static
commiss E (L->R),1035,-8.000,0.000,-8.00,-8.00,2.194,0.204,1.600,2.800,static
commiss F (L->R),2252,-20.000,0.000,-20.00,-20.00,2.196,0.211,1.600,2.800,static
